original_order,original_order_num,new_order,new_order_num
IC1IC7,16,IC1IC7,1
IC1IC9,29,IC1IC9,2
IC7IC9,35,IC7IC9,3
IC1IC13,67,IC1IC13,4
IC7IC13,73,IC7IC13,5
IC9IC13,75,IC9IC13,6
IC1IC14,79,IC1IC14,7
IC7IC14,85,IC7IC14,8
IC9IC14,87,IC9IC14,9
IC13IC14,91,IC13IC14,10
IC1IC20,172,IC1IC20,11
IC7IC20,178,IC7IC20,12
IC9IC20,180,IC9IC20,13
IC13IC20,184,IC13IC20,14
IC14IC20,185,IC14IC20,15
IC1IC21,191,IC1IC21,16
IC7IC21,197,IC7IC21,17
IC9IC21,199,IC9IC21,18
IC13IC21,203,IC13IC21,19
IC14IC21,204,IC14IC21,20
IC20IC21,210,IC20IC21,21
IC1IC5,7,IC1IC5,22
IC5IC7,20,IC7IC5,23
IC5IC9,33,IC9IC5,24
IC5IC13,71,IC13IC5,25
IC5IC14,83,IC14IC5,26
IC5IC20,176,IC20IC5,27
IC5IC21,195,IC21IC5,28
IC1IC6,11,IC1IC6,29
IC6IC7,21,IC7IC6,30
IC6IC9,34,IC9IC6,31
IC6IC13,72,IC13IC6,32
IC6IC14,84,IC14IC6,33
IC6IC20,177,IC20IC6,34
IC6IC21,196,IC21IC6,35
IC5IC6,15,IC5IC6,36
IC1IC16,106,IC1IC16,37
IC7IC16,112,IC7IC16,38
IC9IC16,114,IC9IC16,39
IC13IC16,118,IC13IC16,40
IC14IC16,119,IC14IC16,41
IC16IC20,187,IC20IC16,42
IC16IC21,206,IC21IC16,43
IC5IC16,110,IC5IC16,44
IC6IC16,111,IC6IC16,45
IC1IC10,37,IC1IC10,46
IC7IC10,43,IC7IC10,47
IC9IC10,45,IC9IC10,48
IC10IC13,76,IC13IC10,49
IC10IC14,88,IC14IC10,50
IC10IC20,181,IC20IC10,51
IC10IC21,200,IC21IC10,52
IC5IC10,41,IC5IC10,53
IC6IC10,42,IC6IC10,54
IC10IC16,115,IC16IC10,55
IC1IC11,46,IC1IC11,56
IC7IC11,52,IC7IC11,57
IC9IC11,54,IC9IC11,58
IC11IC13,77,IC13IC11,59
IC11IC14,89,IC14IC11,60
IC11IC20,182,IC20IC11,61
IC11IC21,201,IC21IC11,62
IC5IC11,50,IC5IC11,63
IC6IC11,51,IC6IC11,64
IC11IC16,116,IC16IC11,65
IC10IC11,55,IC10IC11,66
IC1IC12,56,IC1IC12,67
IC7IC12,62,IC7IC12,68
IC9IC12,64,IC9IC12,69
IC12IC13,78,IC13IC12,70
IC12IC14,90,IC14IC12,71
IC12IC20,183,IC20IC12,72
IC12IC21,202,IC21IC12,73
IC5IC12,60,IC5IC12,74
IC6IC12,61,IC6IC12,75
IC12IC16,117,IC16IC12,76
IC10IC12,65,IC10IC12,77
IC11IC12,66,IC11IC12,78
IC1IC17,121,IC1IC17,79
IC7IC17,127,IC7IC17,80
IC9IC17,129,IC9IC17,81
IC13IC17,133,IC13IC17,82
IC14IC17,134,IC14IC17,83
IC17IC20,188,IC20IC17,84
IC17IC21,207,IC21IC17,85
IC5IC17,125,IC5IC17,86
IC6IC17,126,IC6IC17,87
IC16IC17,136,IC16IC17,88
IC10IC17,130,IC10IC17,89
IC11IC17,131,IC11IC17,90
IC12IC17,132,IC12IC17,91
IC1IC3,2,IC1IC3,92
IC3IC7,18,IC7IC3,93
IC3IC9,31,IC9IC3,94
IC3IC13,69,IC13IC3,95
IC3IC14,81,IC14IC3,96
IC3IC20,174,IC20IC3,97
IC3IC21,193,IC21IC3,98
IC3IC5,9,IC5IC3,99
IC3IC6,13,IC6IC3,100
IC3IC16,108,IC16IC3,101
IC3IC10,39,IC10IC3,102
IC3IC11,48,IC11IC3,103
IC3IC12,58,IC12IC3,104
IC3IC17,123,IC17IC3,105
IC1IC2,1,IC1IC2,106
IC2IC7,17,IC7IC2,107
IC2IC9,30,IC9IC2,108
IC2IC13,68,IC13IC2,109
IC2IC14,80,IC14IC2,110
IC2IC20,173,IC20IC2,111
IC2IC21,192,IC21IC2,112
IC2IC5,8,IC5IC2,113
IC2IC6,12,IC6IC2,114
IC2IC16,107,IC16IC2,115
IC2IC10,38,IC10IC2,116
IC2IC11,47,IC11IC2,117
IC2IC12,57,IC12IC2,118
IC2IC17,122,IC17IC2,119
IC2IC3,3,IC3IC2,120
IC1IC4,4,IC1IC4,121
IC4IC7,19,IC7IC4,122
IC4IC9,32,IC9IC4,123
IC4IC13,70,IC13IC4,124
IC4IC14,82,IC14IC4,125
IC4IC20,175,IC20IC4,126
IC4IC21,194,IC21IC4,127
IC4IC5,10,IC5IC4,128
IC4IC6,14,IC6IC4,129
IC4IC16,109,IC16IC4,130
IC4IC10,40,IC10IC4,131
IC4IC11,49,IC11IC4,132
IC4IC12,59,IC12IC4,133
IC4IC17,124,IC17IC4,134
IC3IC4,6,IC3IC4,135
IC2IC4,5,IC2IC4,136
IC1IC8,22,IC1IC8,137
IC7IC8,28,IC7IC8,138
IC8IC9,36,IC9IC8,139
IC8IC13,74,IC13IC8,140
IC8IC14,86,IC14IC8,141
IC8IC20,179,IC20IC8,142
IC8IC21,198,IC21IC8,143
IC5IC8,26,IC5IC8,144
IC6IC8,27,IC6IC8,145
IC8IC16,113,IC16IC8,146
IC8IC10,44,IC10IC8,147
IC8IC11,53,IC11IC8,148
IC8IC12,63,IC12IC8,149
IC8IC17,128,IC17IC8,150
IC3IC8,24,IC3IC8,151
IC2IC8,23,IC2IC8,152
IC4IC8,25,IC4IC8,153
IC1IC19,154,IC1IC19,154
IC7IC19,160,IC7IC19,155
IC9IC19,162,IC9IC19,156
IC13IC19,166,IC13IC19,157
IC14IC19,167,IC14IC19,158
IC19IC20,190,IC20IC19,159
IC19IC21,209,IC21IC19,160
IC5IC19,158,IC5IC19,161
IC6IC19,159,IC6IC19,162
IC16IC19,169,IC16IC19,163
IC10IC19,163,IC10IC19,164
IC11IC19,164,IC11IC19,165
IC12IC19,165,IC12IC19,166
IC17IC19,170,IC17IC19,167
IC3IC19,156,IC3IC19,168
IC2IC19,155,IC2IC19,169
IC4IC19,157,IC4IC19,170
IC8IC19,161,IC8IC19,171
IC1IC15,92,IC1IC15,172
IC7IC15,98,IC7IC15,173
IC9IC15,100,IC9IC15,174
IC13IC15,104,IC13IC15,175
IC14IC15,105,IC14IC15,176
IC15IC20,186,IC20IC15,177
IC15IC21,205,IC21IC15,178
IC5IC15,96,IC5IC15,179
IC6IC15,97,IC6IC15,180
IC15IC16,120,IC16IC15,181
IC10IC15,101,IC10IC15,182
IC11IC15,102,IC11IC15,183
IC12IC15,103,IC12IC15,184
IC15IC17,135,IC17IC15,185
IC3IC15,94,IC3IC15,186
IC2IC15,93,IC2IC15,187
IC4IC15,95,IC4IC15,188
IC8IC15,99,IC8IC15,189
IC15IC19,168,IC19IC15,190
IC1IC18,137,IC1IC18,191
IC7IC18,143,IC7IC18,192
IC9IC18,145,IC9IC18,193
IC13IC18,149,IC13IC18,194
IC14IC18,150,IC14IC18,195
IC18IC20,189,IC20IC18,196
IC18IC21,208,IC21IC18,197
IC5IC18,141,IC5IC18,198
IC6IC18,142,IC6IC18,199
IC16IC18,152,IC16IC18,200
IC10IC18,146,IC10IC18,201
IC11IC18,147,IC11IC18,202
IC12IC18,148,IC12IC18,203
IC17IC18,153,IC17IC18,204
IC3IC18,139,IC3IC18,205
IC2IC18,138,IC2IC18,206
IC4IC18,140,IC4IC18,207
IC8IC18,144,IC8IC18,208
IC18IC19,171,IC19IC18,209
IC15IC18,151,IC15IC18,210
